row_number,Order ID,Product ID,Customer ID,Order Date,Ship Mode,DeliveryTime,Quantity,Sales,Profit,Payment Mode,rating
37,CA-2019-152072,OFF-AR-10001573,Dp-13240,15-01-2019,Standard Class,30 mins,2,4.66,1.3514,COD,3.9
38,CA-2019-152072,TEC-AC-10000844,Dp-13240,15-01-2019,Standard Class,25 mins,3,254.97,91.7892,Cards,4.1
39,CA-2019-140746,FUR-TA-10002903,RC-19825,15-01-2019,Same Day,35 mins,1,181.797,-15.5826,COD,3.7
40,CA-2019-137848,OFF-EN-10001137,WB-21850,15-01-2019,Standard Class,50 mins,4,16.52,7.5992,Online,4.4
41,CA-2019-137848,OFF-PA-10004285,WB-21850,15-01-2019,Standard Class,20 mins,9,60.12,28.8576,COD,4.3
42,CA-2019-137848,OFF-BI-10002225,WB-21850,15-01-2019,Standard Class,30 mins,3,49.536,17.3376,Cards,4.2
43,CA-2019-166912,OFF-PA-10001033,BE-11335,15-01-2019,First Class,40 mins,2,81.98,40.1702,Online,4.3
44,CA-2019-121755,OFF-BI-10001634,EH-13945,16-01-2019,Second Class,25 mins,2,11.648,4.2224,Cards,2.6
45,CA-2019-121755,TEC-AC-10003027,EH-13945,16-01-2019,Second Class,35 mins,3,90.57,11.7741,COD,5
46,CA-2019-116736,FUR-FU-10004017,CC-12430,17-01-2019,Standard Class,20 mins,3,322.59,64.518,COD,3.9
47,CA-2019-116736,TEC-AC-10003628,CC-12430,17-01-2019,Standard Class,45 mins,1,29.99,13.1956,Online,3.9
48,CA-2019-116736,TEC-AC-10002049,CC-12430,17-01-2019,Standard Class,30 mins,3,371.97,66.9546,Online,4
49,CA-2019-106558,TEC-AC-10001142,DL-13495,17-01-2019,Standard Class,20 mins,4,316,31.6,Online,3.7
50,US-2019-167339,FUR-CH-10004289,TD-20995,21-01-2019,Second Class,25 mins,2,153.568,-5.7588,COD,3
51,US-2019-167339,FUR-CH-10000785,TD-20995,21-01-2019,Second Class,35 mins,7,1013.488,76.0116,COD,4.1
52,CA-2019-111010,OFF-FA-10003472,PG-18895,22-01-2019,Standard Class,45 mins,6,7.56,0.3024,COD,4.2
53,US-2019-135923,FUR-FU-10002107,CM-11935,22-01-2019,Standard Class,30 mins,8,14.272,4.2816,COD,4
54,US-2019-135923,FUR-BO-10002213,CM-11935,22-01-2019,Standard Class,40 mins,4,451.136,-67.6704,COD,4
55,US-2019-135923,OFF-AP-10000692,CM-11935,22-01-2019,Standard Class,55 mins,4,64.864,6.4864,COD,4.5
56,CA-2019-138079,FUR-FU-10001475,AJ-10795,22-01-2019,Standard Class,25 mins,5,109.9,37.366,Online,
57,CA-2019-146318,OFF-PA-10003953,MC-17275,22-01-2019,Standard Class,50 mins,2,12.96,6.2208,Online,3.9
58,CA-2019-125850,OFF-LA-10003498,FP-14320,22-01-2019,Standard Class,60 mins,3,44.4,22.2,Online,4.4
59,CA-2019-125850,OFF-LA-10004484,FP-14320,22-01-2019,Standard Class,35 mins,5,20.65,9.499,Online,3.7
60,CA-2019-148208,TEC-PH-10004093,BT-11530,22-01-2019,Standard Class,45 mins,4,110.376,-20.2356,Online,
61,CA-2019-148208,TEC-AC-10000171,BT-11530,22-01-2019,Standard Class,50 mins,3,55.176,15.8631,Cards,3.5
62,US-2019-155180,OFF-BI-10004506,TB-21280,22-01-2019,Standard Class,40 mins,4,26.336,9.2176,Online,4
63,CA-2019-113656,FUR-FU-10000719,CB-12415,23-01-2019,Standard Class,30 mins,7,59.99,21.5964,Online,4.3
64,US-2019-165505,TEC-AC-10002926,CB-12535,23-01-2019,Standard Class,60 mins,2,99.98,42.9914,COD,4
65,US-2019-165505,OFF-AR-10003477,CB-12535,23-01-2019,Standard Class,45 mins,6,8.04,2.7336,COD,1
66,US-2019-165505,OFF-ST-10001526,CB-12535,23-01-2019,Standard Class,55 mins,13,1564.29,406.7154,Online,
67,CA-2019-109407,OFF-BI-10000285,HG-14965,24-01-2019,Second Class,30 mins,4,31.36,15.68,COD,3.9
68,CA-2019-153346,OFF-AR-10000315,TB-21355,25-01-2019,First Class,40 mins,3,9.21,2.3025,COD,4
69,CA-2019-153346,OFF-PA-10000007,TB-21355,25-01-2019,First Class,50 mins,5,18,8.28,Cards,
70,CA-2019-168046,OFF-BI-10003676,JD-15895,25-01-2019,Second Class,35 mins,5,43.12,15.092,Online,
71,CA-2019-168046,FUR-TA-10001095,JD-15895,25-01-2019,Second Class,30 mins,3,313.722,-99.3453,COD,4
72,CA-2019-168046,FUR-FU-10000747,JD-15895,25-01-2019,Second Class,60 mins,1,45.98,7.8166,Online,4.3
73,CA-2019-168046,OFF-ST-10004337,JD-15895,25-01-2019,Second Class,40 mins,7,428.68,0,Online,3.5
74,CA-2019-146437,OFF-AR-10000588,HG-14965,28-01-2019,Second Class,45 mins,2,39.68,10.3168,COD,3.6
75,CA-2019-164483,OFF-BI-10000014,JF-15490,30-01-2019,Standard Class,50 mins,2,17.456,5.8914,COD,
76,CA-2019-153661,OFF-ST-10000675,SC-20725,30-01-2019,First Class,35 mins,9,305.01,76.2525,Online,3
77,CA-2019-153661,OFF-BI-10004781,SC-20725,30-01-2019,First Class,55 mins,2,50.784,17.7744,Online,4.3
78,CA-2019-153661,OFF-LA-10004689,SC-20725,30-01-2019,First Class,45 mins,9,26.01,12.2247,Online,4.6
79,US-2019-166660,FUR-CH-10001190,TB-21250,30-01-2019,Second Class,50 mins,4,435.168,-59.8356,COD,
80,US-2019-166660,FUR-BO-10000468,TB-21250,30-01-2019,Second Class,60 mins,1,48.58,7.7728,Online,3.9
81,CA-2019-114944,OFF-PA-10003892,HE-14800,30-01-2019,Standard Class,30 mins,4,156.512,52.8228,COD,3.9
82,CA-2019-168032,TEC-PH-10004241,DF-13135,30-01-2019,Standard Class,40 mins,4,1439.968,143.9968,Online,
83,CA-2019-168032,OFF-BI-10000546,DF-13135,30-01-2019,Standard Class,50 mins,3,1.728,-2.6784,Cards,3.9
84,CA-2019-168032,FUR-TA-10004256,DF-13135,30-01-2019,Standard Class,35 mins,3,626.1,-538.446,Online,
85,CA-2019-129238,TEC-PH-10004120,SC-20050,31-01-2019,Standard Class,45 mins,1,109.592,8.2194,Cards,
86,CA-2019-129238,OFF-PA-10002764,SC-20050,31-01-2019,Standard Class,55 mins,5,56.7,27.783,COD,
87,CA-2019-147970,OFF-PA-10003936,AB-10150,31-01-2019,Second Class,50 mins,3,15.552,5.4432,Cards,
88,CA-2019-158043,OFF-EN-10003134,JK-15325,31-01-2019,Second Class,30 mins,2,23.36,11.68,Cards,4.6
89,CA-2019-159891,OFF-BI-10003527,BF-11170,31-01-2019,Standard Class,60 mins,1,1270.99,635.495,Online,4.2
90,CA-2019-159891,OFF-EN-10004483,BF-11170,31-01-2019,Standard Class,45 mins,8,125.36,58.9192,Cards,
91,US-2019-140809,OFF-ST-10002214,CK-12760,01-02-2019,First Class,40 mins,5,56.45,14.677,COD,
92,CA-2019-154067,OFF-PA-10002254,SM-20950,01-02-2019,Standard Class,50 mins,4,1105.52,48.5392,Online,4.6
93,CA-2019-147431,OFF-ST-10003994,AB-10105,02-02-2019,Standard Class,35 mins,2,117.96,5.898,COD,5
94,CA-2019-158841,TEC-MA-10001127,SE-20110,02-02-2019,Second Class,45 mins,5,4749.95,2799.984,COD,4.1
95,CA-2019-158841,OFF-BI-10002557,SE-20110,02-02-2019,Second Class,50 mins,8,36.4,18.2,COD,1.5
96,CA-2019-158841,FUR-FU-10001731,SE-20110,02-02-2019,Second Class,60 mins,7,18.69,7.1022,Online,4
97,CA-2019-144645,FUR-FU-10003601,NS-18640,02-02-2019,Standard Class,35 mins,2,73.784,-77.4732,COD,
98,CA-2019-118514,FUR-CH-10000015,LC-17050,03-02-2019,Standard Class,40 mins,4,866.4,225.264,COD,4.4
99,CA-2019-117912,FUR-FU-10002088,TB-21520,04-02-2019,Standard Class,55 mins,2,14.368,3.9512,COD,3.7
100,CA-2019-150077,TEC-PH-10002890,MS-17365,04-02-2019,Standard Class,50 mins,2,90.48,23.5248,COD,4
101,CA-2019-101189,OFF-ST-10004180,JB-15400,04-02-2019,Standard Class,45 mins,2,93.02,3.7208,COD,
102,US-2019-108504,OFF-ST-10002344,PP-18955,05-02-2019,Same Day,30 mins,1,80.98,1.6196,COD,
103,US-2019-108504,OFF-PA-10001289,PP-18955,05-02-2019,Same Day,50 mins,9,348.84,170.9316,Online,4.8
104,US-2019-108504,OFF-FA-10000053,PP-18955,05-02-2019,Same Day,40 mins,5,9.45,0.189,Online,3.7
105,US-2019-108504,FUR-FU-10004091,PP-18955,05-02-2019,Same Day,55 mins,3,18.84,7.1592,Online,4.4
106,US-2019-108504,FUR-BO-10004015,PP-18955,05-02-2019,Same Day,60 mins,2,239.98,52.7956,COD,3.6
107,US-2019-108504,OFF-EN-10003001,PP-18955,05-02-2019,Same Day,35 mins,2,167.96,78.9412,COD,
108,US-2019-108504,TEC-PH-10000215,PP-18955,05-02-2019,Same Day,45 mins,3,104.85,28.3095,COD,3.6
109,US-2019-108504,TEC-PH-10003645,PP-18955,05-02-2019,Same Day,50 mins,3,484.83,126.0558,COD,3.3
110,US-2019-108504,OFF-PA-10000357,PP-18955,05-02-2019,Same Day,35 mins,3,122.97,60.2553,Online,4
111,US-2019-108504,OFF-ST-10004804,PP-18955,05-02-2019,Same Day,55 mins,3,154.44,1.5444,COD,4.6
112,US-2019-108504,OFF-PA-10003892,PP-18955,05-02-2019,Same Day,40 mins,7,342.37,160.9139,COD,5
113,CA-2019-100993,OFF-LA-10003223,AZ-10750,05-02-2019,Standard Class,50 mins,3,14.73,7.2177,COD,4.2
114,CA-2019-100993,OFF-ST-10004340,AZ-10750,05-02-2019,Standard Class,60 mins,3,186.54,50.3658,Online,
115,CA-2019-100993,FUR-TA-10001095,AZ-10750,05-02-2019,Standard Class,45 mins,4,557.728,6.9716,COD,4
116,CA-2019-100993,TEC-PH-10001448,AZ-10750,05-02-2019,Standard Class,35 mins,4,159.968,-31.9936,COD,
117,CA-2019-125017,FUR-FU-10000723,KB-16240,06-02-2019,Standard Class,55 mins,4,132.224,-18.1808,COD,4.3
118,CA-2019-106894,TEC-AC-10003063,CA-12265,07-02-2019,Same Day,30 mins,4,100,21,COD,
119,CA-2019-106894,OFF-LA-10001045,CA-12265,07-02-2019,Same Day,40 mins,3,7.83,3.6018,COD,
120,CA-2019-161662,OFF-PA-10003465,BE-11410,07-02-2019,First Class,50 mins,2,30.352,10.6232,Online,4.5
121,CA-2019-135461,TEC-PH-10004094,EB-13975,07-02-2019,Second Class,30 mins,5,623.96,38.9975,COD,3.8
122,CA-2019-109344,TEC-PH-10002624,CH-12070,08-02-2019,Second Class,45 mins,3,1127.976,126.8973,COD,4.2
123,CA-2019-163048,FUR-CH-10001270,MH-17440,08-02-2019,Standard Class,25 mins,4,241.5,0,COD,
124,US-2019-112396,TEC-AC-10003628,JR-16210,09-02-2019,Standard Class,40 mins,3,89.97,39.5868,COD,3
125,US-2019-112396,TEC-AC-10004761,JR-16210,09-02-2019,Standard Class,35 mins,2,31.86,11.151,COD,4.1
126,CA-2019-164938,TEC-PH-10004897,PB-19210,11-02-2019,First Class,30 mins,7,69.93,0.6993,Online,3.9
127,CA-2019-110492,OFF-ST-10003716,JS-15880,12-02-2019,First Class,50 mins,6,1350.12,175.5156,Online,4.2
128,CA-2019-110492,OFF-BI-10003274,JS-15880,12-02-2019,First Class,20 mins,4,15.92,7.4824,COD,
129,CA-2019-112942,OFF-PA-10004092,RD-19810,13-02-2019,Standard Class,45 mins,3,146.82,73.41,Online,
130,CA-2019-134334,OFF-PA-10000791,DK-13090,14-02-2019,First Class,60 mins,1,4.77,2.1465,COD,
131,CA-2019-134334,OFF-AR-10001770,DK-13090,14-02-2019,First Class,35 mins,3,7.98,2.0748,COD,4.3
132,CA-2019-134334,FUR-TA-10002356,DK-13090,14-02-2019,First Class,25 mins,3,550.431,-47.1798,Online,
133,CA-2019-134334,FUR-FU-10003274,DK-13090,14-02-2019,First Class,20 mins,6,10.56,4.6464,Online,
134,CA-2019-146150,OFF-AR-10002240,FM-14380,14-02-2019,Standard Class,30 mins,7,264.18,68.6868,COD,4.2
135,US-2019-162859,OFF-BI-10004519,PG-18820,15-02-2019,Standard Class,25 mins,3,398.352,124.485,COD,4.4
136,US-2019-162859,OFF-FA-10000304,PG-18820,15-02-2019,Standard Class,30 mins,4,8.72,3.5752,Online,3.7
137,CA-2019-168956,OFF-AP-10004233,EA-14035,16-02-2019,Standard Class,40 mins,6,92.064,-225.5568,Online,
138,CA-2019-168956,OFF-FA-10000304,EA-14035,16-02-2019,Standard Class,20 mins,4,6.976,1.8312,Online,
139,CA-2019-168956,FUR-CH-10004754,EA-14035,16-02-2019,Standard Class,30 mins,3,62.958,-2.6982,Online,3.9
140,CA-2019-168956,OFF-PA-10000809,EA-14035,16-02-2019,Standard Class,50 mins,1,5.184,1.8144,Online,4.8
141,CA-2019-134138,FUR-CH-10001545,JD-15790,16-02-2019,Standard Class,20 mins,2,227.96,36.4736,Online,3.6
142,CA-2019-108105,FUR-FU-10003773,GW-14605,16-02-2019,Standard Class,40 mins,4,318.08,34.9888,COD,4.2
143,CA-2019-108105,OFF-BI-10002412,GW-14605,16-02-2019,Standard Class,30 mins,1,5.8,2.61,COD,4.1
144,CA-2019-105781,FUR-CH-10001802,JF-15565,16-02-2019,Standard Class,25 mins,3,326.646,39.9234,Online,3.9
145,CA-2019-105781,TEC-AC-10003628,JF-15565,16-02-2019,Standard Class,35 mins,3,89.97,39.5868,Online,4.2
146,CA-2019-123274,FUR-FU-10004090,GT-14710,19-02-2019,Standard Class,20 mins,2,44.46,14.6718,COD,
147,CA-2019-123274,OFF-ST-10000736,GT-14710,19-02-2019,Standard Class,30 mins,3,242.94,9.7176,COD,
148,CA-2019-101630,OFF-LA-10004425,CK-12760,19-02-2019,Second Class,40 mins,3,8.67,4.0749,Online,4.5
149,CA-2019-101630,OFF-SU-10001664,CK-12760,19-02-2019,Second Class,45 mins,3,25.71,6.6846,COD,3.7
150,CA-2019-106460,OFF-PA-10001736,GT-14710,19-02-2019,Second Class,30 mins,2,70.88,33.3136,COD,3.3
151,CA-2019-166485,OFF-PA-10004996,AH-10210,20-02-2019,Standard Class,25 mins,2,16.496,5.5674,COD,
152,CA-2019-139010,TEC-AC-10004227,MC-17635,21-02-2019,Second Class,20 mins,1,12.99,0.7794,COD,4.3
153,CA-2019-139010,OFF-BI-10000174,MC-17635,21-02-2019,Second Class,40 mins,4,18.56,6.496,Online,3.5
154,CA-2019-139010,OFF-ST-10001809,MC-17635,21-02-2019,Second Class,30 mins,5,449.15,8.983,COD,
155,CA-2019-139010,OFF-BI-10002309,MC-17635,21-02-2019,Second Class,25 mins,7,31.248,10.9368,COD,4.3
156,US-2019-168410,FUR-FU-10000629,BV-11245,21-02-2019,Standard Class,45 mins,5,68.95,28.959,COD,
157,US-2019-168410,OFF-ST-10000036,BV-11245,21-02-2019,Standard Class,30 mins,3,296.37,80.0199,COD,4.5
158,US-2019-168410,TEC-PH-10002583,BV-11245,21-02-2019,Standard Class,25 mins,2,39.98,1.999,COD,
159,US-2019-139262,OFF-BI-10003727,LC-16960,21-02-2019,Standard Class,35 mins,3,3.762,-2.7588,COD,
160,US-2019-139262,OFF-BI-10002026,LC-16960,21-02-2019,Standard Class,50 mins,2,34.86,-26.726,Online,3.1
161,US-2019-139262,OFF-ST-10001496,LC-16960,21-02-2019,Standard Class,20 mins,3,432.456,32.4342,COD,4.2
162,CA-2019-121447,FUR-FU-10001861,EA-14035,21-02-2019,First Class,30 mins,7,135.8,66.542,COD,3.7
163,CA-2019-119025,OFF-AP-10001205,PV-18985,22-02-2019,Standard Class,40 mins,9,490.32,137.2896,Online,4.1
164,US-2019-143280,TEC-PH-10002398,TZ-21580,22-02-2019,Standard Class,25 mins,5,445.96,55.745,COD,4.3
165,US-2019-143280,TEC-AC-10003399,TZ-21580,22-02-2019,Standard Class,35 mins,1,36.24,15.2208,COD,
166,US-2019-143280,OFF-FA-10000992,TZ-21580,22-02-2019,Standard Class,20 mins,3,10.65,5.0055,COD,4.3
167,CA-2019-144400,OFF-EN-10004386,AC-10420,23-02-2019,Standard Class,45 mins,3,57.576,21.591,COD,4
168,CA-2019-165015,OFF-EN-10003134,BD-11725,25-02-2019,Second Class,30 mins,5,46.72,17.52,Online,
169,CA-2019-102456,OFF-AP-10004336,DL-12865,27-02-2019,First Class,20 mins,3,170.88,49.5552,COD,3.7
170,CA-2019-101448,OFF-BI-10004738,EB-13930,27-02-2019,Second Class,25 mins,3,56.82,28.41,Online,3.6
171,CA-2019-128706,FUR-FU-10004053,DW-13540,27-02-2019,Standard Class,35 mins,2,16.192,-6.8816,Online,4
172,CA-2019-111283,OFF-AR-10001615,LC-16870,28-02-2019,Standard Class,45 mins,7,111.104,8.3328,COD,3
173,CA-2019-101623,OFF-FA-10003495,RR-19525,28-02-2019,Standard Class,30 mins,6,36.48,18.24,Online,4.4
174,US-2019-143819,FUR-TA-10001095,KD-16270,01-03-2019,Standard Class,40 mins,8,836.592,-264.9208,COD,3.9
175,US-2019-143819,OFF-PA-10003127,KD-16270,01-03-2019,Standard Class,55 mins,1,26.38,12.1348,COD,
176,US-2019-143819,OFF-ST-10003208,KD-16270,01-03-2019,Standard Class,25 mins,2,362.92,105.2468,COD,4.5
177,US-2019-143819,TEC-MA-10003979,KD-16270,01-03-2019,Standard Class,50 mins,7,4899.93,2400.9657,COD,4.3
178,US-2019-151862,TEC-PH-10003535,ON-18715,01-03-2019,Standard Class,60 mins,2,159.984,13.9986,COD,5
179,CA-2019-112123,OFF-BI-10001071,BH-11710,03-03-2019,Standard Class,35 mins,7,447.86,219.4514,COD,
180,CA-2019-112123,TEC-PH-10001557,BH-11710,03-03-2019,Standard Class,45 mins,5,479.95,129.5865,COD,4
181,CA-2019-112123,OFF-PA-10001977,BH-11710,03-03-2019,Standard Class,50 mins,3,166.44,79.8912,COD,
182,CA-2019-116799,OFF-PA-10001892,JG-15310,03-03-2019,First Class,40 mins,7,42.784,15.5092,COD,3.9
183,CA-2019-116799,FUR-CH-10004983,JG-15310,03-03-2019,First Class,30 mins,5,563.43,-56.343,COD,4.2
184,CA-2019-167759,TEC-PH-10003171,CC-12670,03-03-2019,Second Class,60 mins,3,134.85,37.758,COD,
185,CA-2019-145730,FUR-TA-10004915,CC-12220,03-03-2019,Standard Class,45 mins,3,637.896,-127.5792,Online,
186,CA-2019-145730,TEC-MA-10001016,CC-12220,03-03-2019,Standard Class,55 mins,3,287.91,33.5895,COD,4.2
187,CA-2019-145730,OFF-EN-10000483,CC-12220,03-03-2019,Standard Class,30 mins,3,36.6,11.895,COD,4.4
188,CA-2019-120005,OFF-SU-10004782,TS-21160,03-03-2019,Same Day,40 mins,3,25.35,7.605,COD,3.4
189,CA-2019-120005,FUR-FU-10000672,TS-21160,03-03-2019,Same Day,50 mins,3,35.28,11.9952,Online,
190,CA-2019-103982,OFF-SU-10000151,AA-10315,03-03-2019,Standard Class,35 mins,3,3930.072,-786.0144,Online,
191,CA-2019-103982,OFF-FA-10001332,AA-10315,03-03-2019,Standard Class,30 mins,1,2.304,0.7776,Online,
192,CA-2019-103982,TEC-PH-10000895,AA-10315,03-03-2019,Standard Class,60 mins,3,431.976,32.3982,COD,2
193,CA-2019-103982,TEC-AC-10002857,AA-10315,03-03-2019,Standard Class,40 mins,7,41.72,5.7365,Cards,4.2
194,CA-2019-154053,OFF-AR-10003727,MG-17890,04-03-2019,Standard Class,45 mins,1,16.99,4.9271,Online,4.4
195,CA-2019-122518,OFF-LA-10001641,RF-19345,04-03-2019,Second Class,50 mins,4,10.08,3.528,Cards,
196,CA-2019-164637,OFF-BI-10003876,RD-19480,04-03-2019,Standard Class,35 mins,3,128.4,64.2,COD,
197,CA-2019-158358,TEC-AC-10002567,EM-13810,04-03-2019,Standard Class,55 mins,2,159.98,57.5928,Online,
198,CA-2019-165218,OFF-EN-10000056,RW-19630,05-03-2019,Standard Class,45 mins,3,149.352,50.4063,COD,4.3
199,CA-2019-165218,OFF-ST-10001558,RW-19630,05-03-2019,Standard Class,50 mins,1,12.992,-0.812,COD,3.6
200,US-2019-155173,TEC-PH-10004586,JB-16045,06-03-2019,Standard Class,60 mins,2,431.94,-71.99,Online,3.7
201,US-2019-155173,OFF-BI-10002982,JB-16045,06-03-2019,Standard Class,30 mins,1,2.043,-1.4982,COD,4.1
202,US-2019-155173,TEC-PH-10002538,JB-16045,06-03-2019,Standard Class,40 mins,3,68.238,-12.5103,Cards,
203,CA-2019-110898,OFF-AP-10001626,LC-16870,06-03-2019,Standard Class,50 mins,3,2.334,-6.3018,Cards,
204,CA-2019-110898,OFF-BI-10004656,LC-16870,06-03-2019,Standard Class,35 mins,4,1.728,-2.7648,COD,4.4
205,CA-2019-110898,FUR-FU-10003773,LC-16870,06-03-2019,Standard Class,45 mins,5,159.04,-194.824,Online,
206,CA-2019-110898,FUR-TA-10000849,LC-16870,06-03-2019,Standard Class,55 mins,2,145.98,-99.2664,COD,4
207,US-2019-137547,TEC-PH-10002365,EB-13705,07-03-2019,Standard Class,50 mins,3,21.072,1.5804,COD,4.3
208,CA-2019-169103,TEC-PH-10001530,ZC-21910,08-03-2019,Standard Class,30 mins,5,1363.96,85.2475,Cards,3.9
209,CA-2019-169103,FUR-FU-10004006,ZC-21910,08-03-2019,Standard Class,60 mins,3,102.36,-3.8385,Cards,3.7
210,CA-2019-106306,OFF-BI-10003676,PG-18820,08-03-2019,Same Day,45 mins,3,9.702,-7.1148,Cards,1.8
211,CA-2019-111976,TEC-PH-10002890,BD-11620,08-03-2019,Standard Class,40 mins,4,108.576,-25.3344,COD,
212,CA-2019-111976,OFF-FA-10004968,BD-11620,08-03-2019,Standard Class,50 mins,2,5.984,-1.3464,Cards,4.2
213,CA-2019-137337,FUR-FU-10003347,GB-14575,08-03-2019,Standard Class,35 mins,8,113.6,44.304,Cards,4.2
214,CA-2019-137337,OFF-PA-10001934,GB-14575,08-03-2019,Standard Class,45 mins,2,12.96,6.3504,Cards,5
215,CA-2019-137337,OFF-BI-10000632,GB-14575,08-03-2019,Standard Class,50 mins,2,69.456,22.5732,Cards,
216,CA-2019-130400,OFF-BI-10001757,SJ-20125,08-03-2019,Standard Class,60 mins,9,8.856,-14.1696,Cards,4.5
217,CA-2019-130400,TEC-AC-10004633,SJ-20125,08-03-2019,Standard Class,35 mins,5,27.96,8.388,Cards,4.3
218,CA-2019-130400,OFF-EN-10001453,SJ-20125,08-03-2019,Standard Class,40 mins,3,146.352,49.3938,Cards,4.8
219,US-2019-140172,OFF-AP-10004233,SP-20650,08-03-2019,Standard Class,55 mins,3,207.144,48.3336,COD,4.3
220,US-2019-140172,OFF-AR-10002766,SP-20650,08-03-2019,Standard Class,50 mins,5,13.9,3.753,Online,4.1
221,CA-2019-120803,TEC-AC-10004469,RB-19465,09-03-2019,Standard Class,45 mins,5,199.75,87.89,COD,
222,CA-2019-153269,OFF-ST-10004634,PS-18760,09-03-2019,First Class,30 mins,1,11.21,3.363,COD,4.1
